ProductKey,Supplier,HierarchyLevel1,HierarchyLevel2,DIorDOM,Seasonal
11209,67847,59044,61779,DOM,False
6607,7336,59044,3163,DOM,False
77116,7336,59044,12305,DOM,False
69677,67847,59044,61779,DOM,False
55719,50890,59044,12305,DOM,False
50445,50890,59044,12305,DOM,False
17076,50890,59044,12305,DOM,False
27050,33114,59044,3163,DOM,False
20571,50890,59044,12305,DOM,False
52339,50890,59044,3163,DOM,False
54383,50890,59044,3163,DOM,False
50774,50890,59044,12305,DOM,False
38379,33114,59044,3163,DOM,False
63681,50890,59044,12305,DOM,False
4746,50890,59044,12305,DOM,False
56705,7336,59044,12305,DOM,False
22531,8360,59044,61779,DOM,False
745,8360,59044,61779,DOM,False
47490,40949,70060,44977,DOM,False
51613,40949,70060,44977,DOM,False
77638,14733,70060,44977,DI,False
79883,24978,70060,56920,DI,False
41816,40949,70060,56920,DOM,False
69951,14733,70060,44977,DI,False
29994,40949,70060,56920,DOM,False
64000,40949,70060,56920,DOM,False
47092,14733,70060,44977,DI,False
8870,40949,70060,44977,DOM,False
76307,40949,70060,56920,DOM,False
26557,14733,70060,44977,DI,False
47934,40949,70060,56920,DOM,False
9812,40949,70060,44977,DOM,False
37140,14399,70060,56920,DOM,False
7288,14733,70060,44977,DI,False
336,40949,70060,44977,DOM,False
74860,14733,70060,44977,DI,False
36619,40949,70060,56920,DOM,False
56383,40949,70060,44977,DOM,False
59501,40949,70060,44977,DOM,False
35011,14733,70060,44977,DI,False
42804,40949,70060,44977,DOM,False
19979,40949,70060,56920,DOM,False
51944,40949,70060,44977,DOM,False
16472,14733,70060,44977,DI,False
32670,14733,70060,44977,DI,False
23051,14733,70060,44977,DI,False
34372,14733,70060,44977,DI,False
68705,14733,70060,44977,DI,False
44577,14733,70060,44977,DI,False
56829,14733,70060,44977,DI,False
3524,14733,70060,44977,DI,False
37379,14733,70060,44977,DI,False
78816,14733,70060,44977,DI,False
16660,14733,70060,44977,DI,False
3204,14733,70060,44977,DI,False
7475,14733,70060,44977,DI,False
46959,14733,70060,44977,DI,False
72711,14733,70060,44977,DI,False
20746,14733,70060,44977,DI,False
51773,14733,70060,44977,DI,False
26435,14733,70060,44977,DI,False
44129,14733,70060,44977,DI,False
